# M = 1.200e+00 M_sun, X = 7.20e-01, Y = 2.70e-01, Z = 1.00e-02
# Output model: R = 1.27843277e+00 R_sun, L = 2.4097e+00 L_sun, Teff = 6.3580e+03 K, Pc = 2.1041e+17 dyn cm^-2, Tc = 1.6361e+07 K
m r rho T P l eps kappa nabla_ad nabla_rad nabla_dlnT_dlnP shell_type
2.3868e+23 8.4482e+06 9.4500e+01 1.6361e+07 2.1041e+17 1.0159e+25 4.2562e+01 9.1072e-01 3.9898e-01 4.4896e-01 3.9898e-01 convective
3.8342e+30 2.1386e+09 9.2972e+01 1.6185e+07 2.0478e+17 1.5509e+32 3.9098e+01 9.2130e-01 3.9899e-01 4.3867e-01 3.9899e-01 convective
7.6684e+30 2.6997e+09 9.2077e+01 1.6081e+07 2.0150e+17 3.0126e+32 3.7235e+01 9.2767e-01 3.9900e-01 4.3313e-01 3.9900e-01 convective
1.1503e+31 3.0954e+09 9.1326e+01 1.5994e+07 1.9877e+17 4.4111e+32 3.5761e+01 9.3311e-01 3.9901e-01 4.2875e-01 3.9901e-01 convective
1.5337e+31 3.4119e+09 9.0657e+01 1.5916e+07 1.9636e+17 5.7577e+32 3.4508e+01 9.3803e-01 3.9902e-01 4.2503e-01 3.9902e-01 convective
1.9171e+31 3.6804e+09 9.0042e+01 1.5844e+07 1.9414e+17 7.0592e+32 3.3406e+01 9.4262e-01 3.9902e-01 4.2177e-01 3.9902e-01 convective
2.3005e+31 3.9160e+09 8.9468e+01 1.5777e+07 1.9209e+17 8.3208e+32 3.2415e+01 9.4686e-01 3.9903e-01 4.1880e-01 3.9903e-01 convective
2.6840e+31 4.1274e+09 8.8926e+01 1.5713e+07 1.9015e+17 9.5461e+32 3.1511e+01 9.5093e-01 3.9903e-01 4.1610e-01 3.9903e-01 convective
3.0674e+31 4.3203e+09 8.8409e+01 1.5652e+07 1.8831e+17 1.0738e+33 3.0678e+01 9.5485e-01 3.9904e-01 4.1363e-01 3.9904e-01 convective
3.4508e+31 4.4983e+09 8.7914e+01 1.5594e+07 1.8656e+17 1.1899e+33 2.9905e+01 9.5865e-01 3.9905e-01 4.1134e-01 3.9905e-01 convective
3.8342e+31 4.6641e+09 8.7437e+01 1.5538e+07 1.8488e+17 1.3032e+33 2.9182e+01 9.6235e-01 3.9905e-01 4.0922e-01 3.9905e-01 convective
4.2176e+31 4.8197e+09 8.6976e+01 1.5483e+07 1.8326e+17 1.4138e+33 2.8502e+01 9.6597e-01 3.9906e-01 4.0723e-01 3.9906e-01 convective
4.6011e+31 4.9665e+09 8.6530e+01 1.5430e+07 1.8169e+17 1.5218e+33 2.7860e+01 9.6952e-01 3.9906e-01 4.0536e-01 3.9906e-01 convective
4.9845e+31 5.1059e+09 8.6095e+01 1.5379e+07 1.8018e+17 1.6275e+33 2.7252e+01 9.7301e-01 3.9907e-01 4.0361e-01 3.9907e-01 convective
5.3679e+31 5.2387e+09 8.5672e+01 1.5329e+07 1.7871e+17 1.7308e+33 2.6674e+01 9.7644e-01 3.9907e-01 4.0195e-01 3.9907e-01 convective
5.7513e+31 5.3657e+09 8.5260e+01 1.5280e+07 1.7728e+17 1.8320e+33 2.6124e+01 9.7983e-01 3.9907e-01 4.0038e-01 3.9906e-01 convective
6.1347e+31 5.4875e+09 8.4856e+01 1.5231e+07 1.7588e+17 1.9312e+33 2.5597e+01 9.8317e-01 3.9908e-01 3.9890e-01 3.9861e-01 radiative
6.5182e+31 5.6047e+09 8.4461e+01 1.5184e+07 1.7452e+17 2.0284e+33 2.5094e+01 9.8646e-01 3.9908e-01 3.9747e-01 3.9747e-01 radiative
6.9016e+31 5.7176e+09 8.4072e+01 1.5138e+07 1.7319e+17 2.1236e+33 2.4612e+01 9.8969e-01 3.9909e-01 3.9609e-01 3.9609e-01 radiative
7.2850e+31 5.8268e+09 8.3690e+01 1.5093e+07 1.7189e+17 2.2171e+33 2.4150e+01 9.9288e-01 3.9909e-01 3.9474e-01 3.9475e-01 radiative
7.6684e+31 5.9325e+09 8.3314e+01 1.5049e+07 1.7062e+17 2.3089e+33 2.3706e+01 9.9601e-01 3.9909e-01 3.9344e-01 3.9344e-01 radiative
8.0519e+31 6.0350e+09 8.2944e+01 1.5006e+07 1.6937e+17 2.3989e+33 2.3278e+01 9.9911e-01 3.9910e-01 3.9217e-01 3.9218e-01 radiative
8.4353e+31 6.1346e+09 8.2579e+01 1.4963e+07 1.6814e+17 2.4874e+33 2.2866e+01 1.0022e+00 3.9910e-01 3.9094e-01 3.9094e-01 radiative
8.8187e+31 6.2314e+09 8.2219e+01 1.4921e+07 1.6694e+17 2.5743e+33 2.2468e+01 1.0052e+00 3.9911e-01 3.8974e-01 3.8974e-01 radiative
9.2021e+31 6.3258e+09 8.1864e+01 1.4880e+07 1.6576e+17 2.6597e+33 2.2083e+01 1.0082e+00 3.9911e-01 3.8857e-01 3.8857e-01 radiative
9.5855e+31 6.4178e+09 8.1513e+01 1.4840e+07 1.6460e+17 2.7437e+33 2.1712e+01 1.0111e+00 3.9911e-01 3.8742e-01 3.8743e-01 radiative
9.9690e+31 6.5076e+09 8.1166e+01 1.4800e+07 1.6346e+17 2.8262e+33 2.1351e+01 1.0140e+00 3.9912e-01 3.8631e-01 3.8631e-01 radiative
1.0352e+32 6.5954e+09 8.0823e+01 1.4761e+07 1.6234e+17 2.9074e+33 2.1002e+01 1.0169e+00 3.9912e-01 3.8522e-01 3.8522e-01 radiative
1.0736e+32 6.6812e+09 8.0485e+01 1.4722e+07 1.6123e+17 2.9873e+33 2.0663e+01 1.0198e+00 3.9912e-01 3.8415e-01 3.8415e-01 radiative
1.1119e+32 6.7653e+09 8.0149e+01 1.4684e+07 1.6014e+17 3.0659e+33 2.0335e+01 1.0226e+00 3.9913e-01 3.8310e-01 3.8311e-01 radiative
1.1503e+32 6.8476e+09 7.9818e+01 1.4646e+07 1.5907e+17 3.1432e+33 2.0015e+01 1.0254e+00 3.9913e-01 3.8208e-01 3.8208e-01 radiative
1.1886e+32 6.9283e+09 7.9489e+01 1.4609e+07 1.5801e+17 3.2194e+33 1.9704e+01 1.0282e+00 3.9913e-01 3.8108e-01 3.8108e-01 radiative
1.2269e+32 7.0076e+09 7.9164e+01 1.4572e+07 1.5697e+17 3.2943e+33 1.9401e+01 1.0310e+00 3.9913e-01 3.8010e-01 3.8010e-01 radiative
1.2653e+32 7.0853e+09 7.8842e+01 1.4536e+07 1.5594e+17 3.3681e+33 1.9107e+01 1.0337e+00 3.9914e-01 3.7913e-01 3.7913e-01 radiative
1.3036e+32 7.1618e+09 7.8523e+01 1.4500e+07 1.5493e+17 3.4409e+33 1.8820e+01 1.0365e+00 3.9914e-01 3.7818e-01 3.7819e-01 radiative
1.3420e+32 7.2369e+09 7.8206e+01 1.4464e+07 1.5392e+17 3.5125e+33 1.8540e+01 1.0392e+00 3.9914e-01 3.7725e-01 3.7725e-01 radiative
1.3803e+32 7.3108e+09 7.7893e+01 1.4429e+07 1.5293e+17 3.5830e+33 1.8266e+01 1.0419e+00 3.9915e-01 3.7634e-01 3.7634e-01 radiative
1.4187e+32 7.3835e+09 7.7582e+01 1.4394e+07 1.5196e+17 3.6526e+33 1.8000e+01 1.0445e+00 3.9915e-01 3.7544e-01 3.7544e-01 radiative
1.4570e+32 7.4551e+09 7.7273e+01 1.4360e+07 1.5099e+17 3.7211e+33 1.7739e+01 1.0472e+00 3.9915e-01 3.7456e-01 3.7456e-01 radiative
1.4953e+32 7.5256e+09 7.6967e+01 1.4326e+07 1.5004e+17 3.7886e+33 1.7485e+01 1.0498e+00 3.9915e-01 3.7369e-01 3.7369e-01 radiative
1.5337e+32 7.5951e+09 7.6664e+01 1.4292e+07 1.4909e+17 3.8552e+33 1.7236e+01 1.0524e+00 3.9916e-01 3.7283e-01 3.7283e-01 radiative
1.5720e+32 7.6636e+09 7.6362e+01 1.4259e+07 1.4816e+17 3.9208e+33 1.6993e+01 1.0550e+00 3.9916e-01 3.7198e-01 3.7199e-01 radiative
1.6104e+32 7.7312e+09 7.6063e+01 1.4226e+07 1.4724e+17 3.9855e+33 1.6755e+01 1.0576e+00 3.9916e-01 3.7115e-01 3.7115e-01 radiative
1.6487e+32 7.7978e+09 7.5766e+01 1.4193e+07 1.4632e+17 4.0493e+33 1.6522e+01 1.0602e+00 3.9916e-01 3.7033e-01 3.7033e-01 radiative
1.6871e+32 7.8636e+09 7.5471e+01 1.4161e+07 1.4542e+17 4.1122e+33 1.6294e+01 1.0628e+00 3.9917e-01 3.6953e-01 3.6953e-01 radiative
1.7254e+32 7.9286e+09 7.5179e+01 1.4128e+07 1.4453e+17 4.1742e+33 1.6071e+01 1.0653e+00 3.9917e-01 3.6873e-01 3.6873e-01 radiative
1.7637e+32 7.9928e+09 7.4888e+01 1.4096e+07 1.4364e+17 4.2354e+33 1.5852e+01 1.0678e+00 3.9917e-01 3.6793e-01 3.6793e-01 radiative
1.8021e+32 8.0562e+09 7.4599e+01 1.4065e+07 1.4277e+17 4.2958e+33 1.5638e+01 1.0703e+00 3.9917e-01 3.6714e-01 3.6714e-01 radiative
1.8404e+32 8.1188e+09 7.4312e+01 1.4033e+07 1.4190e+17 4.3553e+33 1.5428e+01 1.0728e+00 3.9918e-01 3.6636e-01 3.6636e-01 radiative
1.8788e+32 8.1807e+09 7.4027e+01 1.4002e+07 1.4104e+17 4.4141e+33 1.5221e+01 1.0753e+00 3.9918e-01 3.6559e-01 3.6559e-01 radiative
1.9171e+32 8.2420e+09 7.3744e+01 1.3971e+07 1.4019e+17 4.4721e+33 1.5019e+01 1.0777e+00 3.9918e-01 3.6483e-01 3.6483e-01 radiative
1.9555e+32 8.3026e+09 7.3462e+01 1.3941e+07 1.3935e+17 4.5293e+33 1.4821e+01 1.0802e+00 3.9918e-01 3.6407e-01 3.6407e-01 radiative
1.9938e+32 8.3625e+09 7.3182e+01 1.3910e+07 1.3852e+17 4.5857e+33 1.4626e+01 1.0826e+00 3.9919e-01 3.6333e-01 3.6333e-01 radiative
2.0321e+32 8.4218e+09 7.2904e+01 1.3880e+07 1.3769e+17 4.6414e+33 1.4435e+01 1.0851e+00 3.9919e-01 3.6259e-01 3.6259e-01 radiative
2.0705e+32 8.4805e+09 7.2627e+01 1.3850e+07 1.3687e+17 4.6964e+33 1.4247e+01 1.0875e+00 3.9919e-01 3.6186e-01 3.6186e-01 radiative
2.1088e+32 8.5386e+09 7.2352e+01 1.3821e+07 1.3606e+17 4.7507e+33 1.4063e+01 1.0899e+00 3.9919e-01 3.6114e-01 3.6114e-01 radiative
2.1472e+32 8.5962e+09 7.2079e+01 1.3791e+07 1.3526e+17 4.8043e+33 1.3882e+01 1.0923e+00 3.9919e-01 3.6043e-01 3.6043e-01 radiative
2.1855e+32 8.6532e+09 7.1807e+01 1.3762e+07 1.3446e+17 4.8572e+33 1.3704e+01 1.0947e+00 3.9920e-01 3.5972e-01 3.5972e-01 radiative
2.2238e+32 8.7097e+09 7.1536e+01 1.3733e+07 1.3367e+17 4.9094e+33 1.3529e+01 1.0971e+00 3.9920e-01 3.5902e-01 3.5902e-01 radiative
2.2622e+32 8.7657e+09 7.1267e+01 1.3704e+07 1.3289e+17 4.9609e+33 1.3357e+01 1.0994e+00 3.9920e-01 3.5833e-01 3.5833e-01 radiative
2.3005e+32 8.8212e+09 7.1000e+01 1.3675e+07 1.3211e+17 5.0118e+33 1.3189e+01 1.1018e+00 3.9920e-01 3.5764e-01 3.5765e-01 radiative
2.3389e+32 8.8761e+09 7.0733e+01 1.3646e+07 1.3134e+17 5.0621e+33 1.3022e+01 1.1042e+00 3.9920e-01 3.5696e-01 3.5697e-01 radiative
2.3772e+32 8.9307e+09 7.0469e+01 1.3618e+07 1.3057e+17 5.1117e+33 1.2859e+01 1.1065e+00 3.9921e-01 3.5629e-01 3.5629e-01 radiative
2.4156e+32 8.9847e+09 7.0205e+01 1.3590e+07 1.2982e+17 5.1607e+33 1.2698e+01 1.1089e+00 3.9921e-01 3.5562e-01 3.5562e-01 radiative
2.4539e+32 9.0383e+09 6.9943e+01 1.3562e+07 1.2906e+17 5.2091e+33 1.2540e+01 1.1112e+00 3.9921e-01 3.5496e-01 3.5496e-01 radiative
2.4922e+32 9.0915e+09 6.9682e+01 1.3534e+07 1.2832e+17 5.2568e+33 1.2384e+01 1.1135e+00 3.9921e-01 3.5431e-01 3.5431e-01 radiative
2.5306e+32 9.1443e+09 6.9422e+01 1.3506e+07 1.2758e+17 5.3040e+33 1.2231e+01 1.1159e+00 3.9921e-01 3.5366e-01 3.5366e-01 radiative
2.5689e+32 9.1967e+09 6.9164e+01 1.3479e+07 1.2685e+17 5.3506e+33 1.2080e+01 1.1182e+00 3.9922e-01 3.5301e-01 3.5301e-01 radiative
2.6073e+32 9.2486e+09 6.8907e+01 1.3451e+07 1.2612e+17 5.3967e+33 1.1932e+01 1.1205e+00 3.9922e-01 3.5237e-01 3.5237e-01 radiative
2.6456e+32 9.3002e+09 6.8651e+01 1.3424e+07 1.2539e+17 5.4421e+33 1.1786e+01 1.1228e+00 3.9922e-01 3.5173e-01 3.5174e-01 radiative
2.6840e+32 9.3514e+09 6.8396e+01 1.3397e+07 1.2468e+17 5.4870e+33 1.1642e+01 1.1251e+00 3.9922e-01 3.5110e-01 3.5111e-01 radiative
2.7223e+32 9.4022e+09 6.8142e+01 1.3370e+07 1.2397e+17 5.5314e+33 1.1500e+01 1.1274e+00 3.9922e-01 3.5048e-01 3.5048e-01 radiative
2.7606e+32 9.4527e+09 6.7889e+01 1.3344e+07 1.2326e+17 5.5752e+33 1.1361e+01 1.1297e+00 3.9922e-01 3.4986e-01 3.4986e-01 radiative
2.7990e+32 9.5028e+09 6.7638e+01 1.3317e+07 1.2256e+17 5.6185e+33 1.1223e+01 1.1320e+00 3.9923e-01 3.4924e-01 3.4924e-01 radiative
2.8373e+32 9.5526e+09 6.7388e+01 1.3291e+07 1.2186e+17 5.6613e+33 1.1088e+01 1.1343e+00 3.9923e-01 3.4863e-01 3.4863e-01 radiative
2.8757e+32 9.6021e+09 6.7138e+01 1.3264e+07 1.2117e+17 5.7036e+33 1.0954e+01 1.1366e+00 3.9923e-01 3.4802e-01 3.4802e-01 radiative
2.9140e+32 9.6512e+09 6.6890e+01 1.3238e+07 1.2048e+17 5.7453e+33 1.0823e+01 1.1388e+00 3.9923e-01 3.4742e-01 3.4742e-01 radiative
2.9523e+32 9.7000e+09 6.6643e+01 1.3212e+07 1.1980e+17 5.7866e+33 1.0693e+01 1.1411e+00 3.9923e-01 3.4682e-01 3.4682e-01 radiative
2.9907e+32 9.7485e+09 6.6397e+01 1.3186e+07 1.1913e+17 5.8273e+33 1.0565e+01 1.1434e+00 3.9924e-01 3.4622e-01 3.4623e-01 radiative
3.0290e+32 9.7967e+09 6.6152e+01 1.3160e+07 1.1845e+17 5.8676e+33 1.0439e+01 1.1456e+00 3.9924e-01 3.4563e-01 3.4563e-01 radiative
3.0674e+32 9.8446e+09 6.5908e+01 1.3135e+07 1.1779e+17 5.9074e+33 1.0315e+01 1.1479e+00 3.9924e-01 3.4505e-01 3.4505e-01 radiative
3.1057e+32 9.8923e+09 6.5665e+01 1.3109e+07 1.1712e+17 5.9467e+33 1.0192e+01 1.1501e+00 3.9924e-01 3.4446e-01 3.4446e-01 radiative
3.1441e+32 9.9396e+09 6.5423e+01 1.3084e+07 1.1647e+17 5.9855e+33 1.0072e+01 1.1524e+00 3.9924e-01 3.4388e-01 3.4388e-01 radiative
3.1824e+32 9.9867e+09 6.5182e+01 1.3059e+07 1.1581e+17 6.0239e+33 9.9526e+00 1.1546e+00 3.9924e-01 3.4330e-01 3.4331e-01 radiative
3.2207e+32 1.0033e+10 6.4941e+01 1.3033e+07 1.1516e+17 6.0618e+33 9.8351e+00 1.1568e+00 3.9924e-01 3.4273e-01 3.4273e-01 radiative
3.2591e+32 1.0080e+10 6.4702e+01 1.3008e+07 1.1452e+17 6.0993e+33 9.7193e+00 1.1591e+00 3.9925e-01 3.4216e-01 3.4216e-01 radiative
3.2974e+32 1.0126e+10 6.4464e+01 1.2983e+07 1.1388e+17 6.1364e+33 9.6050e+00 1.1613e+00 3.9925e-01 3.4160e-01 3.4160e-01 radiative
3.3358e+32 1.0172e+10 6.4226e+01 1.2959e+07 1.1324e+17 6.1730e+33 9.4923e+00 1.1635e+00 3.9925e-01 3.4103e-01 3.4103e-01 radiative
3.3741e+32 1.0218e+10 6.3990e+01 1.2934e+07 1.1261e+17 6.2092e+33 9.3811e+00 1.1658e+00 3.9925e-01 3.4047e-01 3.4047e-01 radiative
3.4125e+32 1.0264e+10 6.3754e+01 1.2909e+07 1.1198e+17 6.2449e+33 9.2714e+00 1.1680e+00 3.9925e-01 3.3991e-01 3.3991e-01 radiative
3.4508e+32 1.0309e+10 6.3520e+01 1.2885e+07 1.1136e+17 6.2803e+33 9.1632e+00 1.1702e+00 3.9925e-01 3.3936e-01 3.3936e-01 radiative
3.4891e+32 1.0354e+10 6.3286e+01 1.2861e+07 1.1074e+17 6.3152e+33 9.0564e+00 1.1724e+00 3.9926e-01 3.3881e-01 3.3881e-01 radiative
3.5275e+32 1.0399e+10 6.3053e+01 1.2836e+07 1.1012e+17 6.3497e+33 8.9509e+00 1.1746e+00 3.9926e-01 3.3826e-01 3.3826e-01 radiative
3.5658e+32 1.0444e+10 6.2820e+01 1.2812e+07 1.0951e+17 6.3838e+33 8.8469e+00 1.1768e+00 3.9926e-01 3.3771e-01 3.3771e-01 radiative
3.6042e+32 1.0488e+10 6.2589e+01 1.2788e+07 1.0890e+17 6.4176e+33 8.7442e+00 1.1790e+00 3.9926e-01 3.3717e-01 3.3717e-01 radiative
3.6425e+32 1.0532e+10 6.2358e+01 1.2764e+07 1.0830e+17 6.4509e+33 8.6429e+00 1.1812e+00 3.9926e-01 3.3663e-01 3.3663e-01 radiative
3.6808e+32 1.0576e+10 6.2129e+01 1.2740e+07 1.0770e+17 6.4838e+33 8.5428e+00 1.1834e+00 3.9926e-01 3.3609e-01 3.3609e-01 radiative
3.7192e+32 1.0620e+10 6.1900e+01 1.2716e+07 1.0710e+17 6.5164e+33 8.4441e+00 1.1856e+00 3.9926e-01 3.3556e-01 3.3556e-01 radiative
3.7575e+32 1.0664e+10 6.1672e+01 1.2693e+07 1.0650e+17 6.5486e+33 8.3466e+00 1.1878e+00 3.9927e-01 3.3503e-01 3.3503e-01 radiative
3.7959e+32 1.0707e+10 6.1444e+01 1.2669e+07 1.0591e+17 6.5804e+33 8.2503e+00 1.1900e+00 3.9927e-01 3.3450e-01 3.3450e-01 radiative
3.8342e+32 1.0750e+10 6.1218e+01 1.2646e+07 1.0533e+17 6.6119e+33 8.1553e+00 1.1922e+00 3.9927e-01 3.3397e-01 3.3397e-01 radiative
3.8726e+32 1.0793e+10 6.0992e+01 1.2622e+07 1.0475e+17 6.6430e+33 8.0615e+00 1.1943e+00 3.9927e-01 3.3344e-01 3.3344e-01 radiative
3.9109e+32 1.0836e+10 6.0767e+01 1.2599e+07 1.0417e+17 6.6737e+33 7.9688e+00 1.1965e+00 3.9927e-01 3.3292e-01 3.3292e-01 radiative
3.9492e+32 1.0879e+10 6.0543e+01 1.2576e+07 1.0359e+17 6.7041e+33 7.8773e+00 1.1987e+00 3.9927e-01 3.3240e-01 3.3240e-01 radiative
3.9876e+32 1.0921e+10 6.0319e+01 1.2553e+07 1.0302e+17 6.7341e+33 7.7870e+00 1.2008e+00 3.9927e-01 3.3188e-01 3.3188e-01 radiative
4.0259e+32 1.0964e+10 6.0096e+01 1.2530e+07 1.0245e+17 6.7638e+33 7.6977e+00 1.2030e+00 3.9927e-01 3.3136e-01 3.3136e-01 radiative
4.0643e+32 1.1006e+10 5.9874e+01 1.2507e+07 1.0188e+17 6.7931e+33 7.6096e+00 1.2052e+00 3.9928e-01 3.3084e-01 3.3084e-01 radiative
4.1026e+32 1.1048e+10 5.9653e+01 1.2484e+07 1.0132e+17 6.8221e+33 7.5225e+00 1.2073e+00 3.9928e-01 3.3032e-01 3.3032e-01 radiative
4.1410e+32 1.1090e+10 5.9432e+01 1.2461e+07 1.0076e+17 6.8508e+33 7.4366e+00 1.2095e+00 3.9928e-01 3.2981e-01 3.2981e-01 radiative
4.1793e+32 1.1131e+10 5.9212e+01 1.2438e+07 1.0021e+17 6.8792e+33 7.3516e+00 1.2116e+00 3.9928e-01 3.2930e-01 3.2930e-01 radiative
4.2176e+32 1.1173e+10 5.8993e+01 1.2416e+07 9.9654e+16 6.9072e+33 7.2677e+00 1.2137e+00 3.9928e-01 3.2879e-01 3.2879e-01 radiative
4.2560e+32 1.1214e+10 5.8775e+01 1.2393e+07 9.9104e+16 6.9349e+33 7.1849e+00 1.2159e+00 3.9928e-01 3.2828e-01 3.2828e-01 radiative
4.2943e+32 1.1255e+10 5.8557e+01 1.2371e+07 9.8558e+16 6.9623e+33 7.1030e+00 1.2180e+00 3.9928e-01 3.2777e-01 3.2777e-01 radiative
4.3327e+32 1.1296e+10 5.8339e+01 1.2348e+07 9.8015e+16 6.9894e+33 7.0221e+00 1.2202e+00 3.9928e-01 3.2726e-01 3.2727e-01 radiative
4.3710e+32 1.1337e+10 5.8123e+01 1.2326e+07 9.7475e+16 7.0161e+33 6.9422e+00 1.2223e+00 3.9929e-01 3.2676e-01 3.2676e-01 radiative
4.4093e+32 1.1378e+10 5.7907e+01 1.2304e+07 9.6938e+16 7.0426e+33 6.8632e+00 1.2244e+00 3.9929e-01 3.2626e-01 3.2626e-01 radiative
4.4477e+32 1.1419e+10 5.7692e+01 1.2282e+07 9.6403e+16 7.0688e+33 6.7852e+00 1.2266e+00 3.9929e-01 3.2576e-01 3.2576e-01 radiative
4.4860e+32 1.1459e+10 5.7477e+01 1.2260e+07 9.5872e+16 7.0946e+33 6.7081e+00 1.2287e+00 3.9929e-01 3.2526e-01 3.2526e-01 radiative
4.5244e+32 1.1500e+10 5.7264e+01 1.2238e+07 9.5344e+16 7.1202e+33 6.6320e+00 1.2308e+00 3.9929e-01 3.2476e-01 3.2477e-01 radiative
4.5627e+32 1.1540e+10 5.7050e+01 1.2216e+07 9.4819e+16 7.1455e+33 6.5567e+00 1.2329e+00 3.9929e-01 3.2427e-01 3.2427e-01 radiative
4.6011e+32 1.1580e+10 5.6838e+01 1.2194e+07 9.4296e+16 7.1705e+33 6.4823e+00 1.2350e+00 3.9929e-01 3.2378e-01 3.2378e-01 radiative
4.6394e+32 1.1620e+10 5.6626e+01 1.2172e+07 9.3777e+16 7.1952e+33 6.4088e+00 1.2372e+00 3.9929e-01 3.2328e-01 3.2328e-01 radiative
4.6777e+32 1.1660e+10 5.6414e+01 1.2150e+07 9.3260e+16 7.2196e+33 6.3362e+00 1.2393e+00 3.9930e-01 3.2279e-01 3.2279e-01 radiative
4.7161e+32 1.1699e+10 5.6204e+01 1.2129e+07 9.2746e+16 7.2438e+33 6.2644e+00 1.2414e+00 3.9930e-01 3.2230e-01 3.2230e-01 radiative
4.7544e+32 1.1739e+10 5.5994e+01 1.2107e+07 9.2235e+16 7.2677e+33 6.1935e+00 1.2435e+00 3.9930e-01 3.2182e-01 3.2182e-01 radiative
4.7928e+32 1.1779e+10 5.5784e+01 1.2086e+07 9.1727e+16 7.2913e+33 6.1233e+00 1.2456e+00 3.9930e-01 3.2133e-01 3.2133e-01 radiative
4.8311e+32 1.1818e+10 5.5575e+01 1.2064e+07 9.1221e+16 7.3146e+33 6.0540e+00 1.2478e+00 3.9930e-01 3.2086e-01 3.2086e-01 radiative
4.8695e+32 1.1857e+10 5.5367e+01 1.2043e+07 9.0718e+16 7.3377e+33 5.9855e+00 1.2500e+00 3.9930e-01 3.2040e-01 3.2040e-01 radiative
4.9078e+32 1.1896e+10 5.5159e+01 1.2022e+07 9.0218e+16 7.3605e+33 5.9178e+00 1.2522e+00 3.9930e-01 3.1994e-01 3.1994e-01 radiative
4.9461e+32 1.1935e+10 5.4952e+01 1.2000e+07 8.9721e+16 7.3831e+33 5.8509e+00 1.2544e+00 3.9930e-01 3.1949e-01 3.1949e-01 radiative
4.9845e+32 1.1974e+10 5.4746e+01 1.1979e+07 8.9226e+16 7.4054e+33 5.7847e+00 1.2566e+00 3.9930e-01 3.1903e-01 3.1903e-01 radiative
5.0228e+32 1.2013e+10 5.4540e+01 1.1958e+07 8.8733e+16 7.4275e+33 5.7193e+00 1.2588e+00 3.9931e-01 3.1858e-01 3.1858e-01 radiative
5.0612e+32 1.2052e+10 5.4334e+01 1.1937e+07 8.8244e+16 7.4493e+33 5.6546e+00 1.2609e+00 3.9931e-01 3.1813e-01 3.1813e-01 radiative
5.0995e+32 1.2090e+10 5.4130e+01 1.1916e+07 8.7756e+16 7.4708e+33 5.5907e+00 1.2631e+00 3.9931e-01 3.1768e-01 3.1768e-01 radiative
5.1379e+32 1.2129e+10 5.3925e+01 1.1895e+07 8.7272e+16 7.4921e+33 5.5275e+00 1.2653e+00 3.9931e-01 3.1723e-01 3.1723e-01 radiative
5.1762e+32 1.2167e+10 5.3722e+01 1.1874e+07 8.6790e+16 7.5132e+33 5.4650e+00 1.2675e+00 3.9931e-01 3.1678e-01 3.1678e-01 radiative
5.2145e+32 1.2206e+10 5.3519e+01 1.1853e+07 8.6310e+16 7.5340e+33 5.4032e+00 1.2697e+00 3.9931e-01 3.1634e-01 3.1634e-01 radiative
5.2529e+32 1.2244e+10 5.3316e+01 1.1833e+07 8.5833e+16 7.5546e+33 5.3422e+00 1.2719e+00 3.9931e-01 3.1589e-01 3.1589e-01 radiative
5.2912e+32 1.2282e+10 5.3115e+01 1.1812e+07 8.5358e+16 7.5750e+33 5.2818e+00 1.2741e+00 3.9931e-01 3.1544e-01 3.1544e-01 radiative
5.3296e+32 1.2320e+10 5.2913e+01 1.1791e+07 8.4886e+16 7.5952e+33 5.2221e+00 1.2763e+00 3.9931e-01 3.1500e-01 3.1500e-01 radiative
5.3679e+32 1.2358e+10 5.2712e+01 1.1771e+07 8.4416e+16 7.6151e+33 5.1630e+00 1.2784e+00 3.9931e-01 3.1456e-01 3.1456e-01 radiative
5.4062e+32 1.2396e+10 5.2512e+01 1.1750e+07 8.3949e+16 7.6347e+33 5.1047e+00 1.2806e+00 3.9932e-01 3.1412e-01 3.1412e-01 radiative
5.4446e+32 1.2434e+10 5.2312e+01 1.1730e+07 8.3484e+16 7.6542e+33 5.0470e+00 1.2828e+00 3.9932e-01 3.1368e-01 3.1368e-01 radiative
5.4829e+32 1.2471e+10 5.2113e+01 1.1709e+07 8.3021e+16 7.6734e+33 4.9899e+00 1.2850e+00 3.9932e-01 3.1324e-01 3.1324e-01 radiative
5.5213e+32 1.2509e+10 5.1915e+01 1.1689e+07 8.2561e+16 7.6925e+33 4.9335e+00 1.2871e+00 3.9932e-01 3.1280e-01 3.1280e-01 radiative
5.5596e+32 1.2546e+10 5.1717e+01 1.1669e+07 8.2103e+16 7.7113e+33 4.8777e+00 1.2893e+00 3.9932e-01 3.1236e-01 3.1236e-01 radiative
5.5980e+32 1.2584e+10 5.1519e+01 1.1648e+07 8.1648e+16 7.7299e+33 4.8225e+00 1.2915e+00 3.9932e-01 3.1192e-01 3.1192e-01 radiative
5.6363e+32 1.2621e+10 5.1322e+01 1.1628e+07 8.1194e+16 7.7483e+33 4.7679e+00 1.2937e+00 3.9932e-01 3.1149e-01 3.1149e-01 radiative
5.6746e+32 1.2658e+10 5.1126e+01 1.1608e+07 8.0743e+16 7.7664e+33 4.7140e+00 1.2958e+00 3.9932e-01 3.1105e-01 3.1105e-01 radiative
5.7130e+32 1.2696e+10 5.0930e+01 1.1588e+07 8.0294e+16 7.7844e+33 4.6606e+00 1.2980e+00 3.9932e-01 3.1062e-01 3.1062e-01 radiative
